iter	MultiClass
0	1.011501013
1	0.9364922579
2	0.873136118
3	0.8243853938
4	0.7771089998
5	0.7399047703
6	0.7036319401
7	0.6700319751
8	0.6397347761
9	0.6119173586
10	0.5880349772
11	0.5660899353
12	0.5461973209
13	0.5301811212
14	0.5142603236
15	0.5011147786
16	0.4870276686
17	0.4749132018
18	0.4656607161
19	0.4547526557
20	0.4469284854
21	0.4372390707
22	0.4293715063
23	0.4203743931
24	0.4132857319
25	0.4070337509
26	0.4012289433
27	0.395664457
28	0.3896723489
29	0.384130527
30	0.3789796306
31	0.373133274
32	0.3673484717
33	0.3631102631
34	0.3587068279
35	0.3546450685
36	0.3502491322
37	0.3453148246
38	0.3421239694
39	0.3385126827
40	0.3345777971
41	0.3315672926
42	0.3279021695
43	0.3234460277
44	0.3200596215
45	0.3171985049
46	0.3142073021
47	0.311119112
48	0.3074420655
49	0.3054885748
50	0.3030364775
51	0.2999605284
52	0.2974296109
53	0.2955002957
54	0.2934986285
55	0.2914705987
56	0.2903380396
57	0.2880990016
58	0.2859578875
59	0.2837695919
60	0.2816529625
61	0.2795037192
62	0.278336658
63	0.2756845965
64	0.2732506395
65	0.2715043652
66	0.2692890358
67	0.2680259683
68	0.265722499
69	0.2639972739
70	0.2625342767
71	0.2613783796
72	0.2596401059
73	0.2580696546
74	0.2563730845
75	0.2552569455
76	0.2541129879
77	0.2523538893
78	0.2508988859
79	0.2498107546
80	0.2482590897
81	0.246513746
82	0.2448952102
83	0.2440388476
84	0.2430450781
85	0.2415724377
86	0.2405534822
87	0.2395967944
88	0.2381267613
89	0.2371211737
90	0.2360314071
91	0.2352335176
92	0.2343494432
93	0.2333431403
94	0.2321393868
95	0.2313477062
96	0.2305702697
97	0.2296030308
98	0.2285108715
99	0.2277170945
100	0.2267218777
101	0.2255972756
102	0.2245159844
103	0.2235678972
104	0.2222544291
105	0.2215121109
106	0.2206203088
107	0.2198200347
108	0.2189831148
109	0.2178793945
110	0.2162551998
111	0.2154138551
112	0.2143009282
113	0.2131893286
114	0.212387812
115	0.2114767962
116	0.2111404886
117	0.2101500496
118	0.2091286218
119	0.2081179826
120	0.2073653799
121	0.2067450916
122	0.2059896331
123	0.2051585581
124	0.2044130686
125	0.2037542662
126	0.2029601546
127	0.2018430357
128	0.2011393796
129	0.2007921828
130	0.2004242389
131	0.200010758
132	0.1990138641
133	0.1981265791
134	0.197638457
135	0.1970724889
136	0.1962929044
137	0.1952983436
138	0.1946689871
139	0.1940909827
140	0.1937347322
141	0.192885488
142	0.1920718421
143	0.1913044152
144	0.1907034322
145	0.1902847261
146	0.1898194331
147	0.1892465745
148	0.1886495117
149	0.1878354061
150	0.1867254498
151	0.1863172529
152	0.1858450402
153	0.1852118151
154	0.1847892194
155	0.1844636544
156	0.1837685617
157	0.1834948307
158	0.1828545956
159	0.1823606393
160	0.1817068081
161	0.1811660332
162	0.1805166878
163	0.1801892891
164	0.1793247837
165	0.1787863078
166	0.1782463291
167	0.1777588528
168	0.1772309009
169	0.1767960056
170	0.1762358367
171	0.1758706136
172	0.175423977
173	0.1748740883
174	0.1741872245
175	0.1738872544
176	0.1733144666
177	0.1730037285
178	0.1726814652
179	0.1721915647
180	0.1717365297
181	0.1714964721
182	0.1709889974
183	0.1706281394
184	0.1701544009
185	0.1697393075
186	0.1693523207
187	0.1688715734
188	0.1684686953
