iter	Passed	Remaining
0	3	3435
1	6	3479
2	10	3447
3	13	3472
4	17	3409
5	20	3473
6	24	3465
7	27	3441
8	30	3413
9	34	3407
10	37	3403
11	41	3384
12	44	3391
13	48	3384
14	51	3392
15	55	3386
16	58	3388
17	62	3382
18	65	3373
19	69	3396
20	72	3400
21	76	3396
22	79	3392
23	83	3396
24	86	3387
25	90	3378
26	93	3372
27	96	3358
28	100	3366
29	104	3363
30	107	3364
31	111	3362
32	115	3374
33	118	3369
34	122	3367
35	125	3362
36	128	3355
37	132	3357
38	136	3352
39	139	3350
40	143	3345
41	146	3340
42	149	3336
43	153	3332
44	156	3327
45	160	3330
46	164	3330
47	167	3327
48	171	3324
49	174	3320
50	178	3321
51	181	3316
52	185	3315
53	188	3307
54	192	3311
55	196	3309
56	199	3306
57	203	3304
58	206	3299
59	210	3298
60	214	3296
61	217	3293
62	220	3285
63	224	3283
64	227	3278
65	231	3274
66	235	3273
67	238	3266
68	241	3261
69	245	3258
70	248	3251
71	252	3248
72	255	3246
73	259	3246
74	263	3244
75	266	3241
76	270	3239
77	273	3234
78	277	3234
79	280	3228
80	284	3223
81	287	3217
82	291	3217
83	294	3215
84	298	3212
85	301	3209
86	305	3205
87	309	3204
88	312	3203
89	316	3198
90	319	3193
91	323	3192
92	326	3187
93	330	3182
94	333	3178
95	337	3174
96	341	3175
97	344	3174
98	348	3169
99	351	3166
100	355	3166
101	359	3161
102	362	3157
103	366	3153
104	369	3149
105	373	3148
106	376	3144
107	380	3139
108	383	3137
109	387	3139
110	391	3136
111	394	3130
112	398	3127
113	402	3125
114	405	3124
115	409	3119
116	412	3116
117	416	3111
118	420	3110
119	423	3106
120	427	3103
121	430	3097
122	434	3096
123	437	3092
124	442	3096
125	447	3103
126	452	3107
127	457	3113
128	461	3114
129	466	3118
130	471	3127
131	476	3133
132	481	3136
133	486	3144
134	491	3147
135	496	3151
136	501	3157
137	509	3182
138	514	3184
139	517	3181
140	521	3178
141	525	3173
142	529	3171
143	533	3171
144	537	3171
145	541	3167
146	546	3169
147	550	3169
148	554	3166
149	558	3165
150	563	3169
151	567	3166
152	571	3163
153	576	3167
154	580	3165
155	584	3161
156	588	3158
157	592	3157
158	596	3155
159	600	3153
160	604	3149
161	616	3191
162	620	3186
163	624	3183
164	628	3179
165	631	3174
166	635	3169
167	639	3166
168	643	3161
169	654	3196
170	658	3192
171	662	3189
172	666	3186
173	671	3187
174	675	3185
175	679	3183
176	683	3179
177	687	3176
178	691	3171
179	694	3165
180	698	3160
181	702	3156
182	705	3151
183	709	3146
184	712	3140
185	716	3135
186	720	3133
187	724	3130
188	728	3125
189	731	3120
190	735	3116
191	739	3111
192	742	3106
193	746	3102
194	750	3099
195	755	3099
196	759	3096
197	763	3091
198	767	3090
199	773	3092
200	777	3088
201	781	3086
202	785	3084
203	789	3081
204	793	3077
205	798	3075
206	802	3074
207	806	3072
208	810	3069
209	815	3068
210	819	3065
211	823	3061
212	827	3057
213	831	3055
214	835	3052
215	840	3050
216	845	3049
217	848	3045
218	852	3041
219	856	3036
220	861	3035
221	865	3032
222	869	3029
223	873	3026
224	880	3032
225	884	3030
226	888	3026
227	893	3024
228	897	3023
229	902	3020
230	906	3016
231	911	3017
232	915	3014
233	919	3011
234	925	3013
235	938	3037
236	943	3036
237	947	3032
238	951	3030
239	957	3031
240	961	3027
241	965	3023
242	970	3022
243	975	3023
244	981	3023
245	985	3021
246	990	3020
247	996	3021
248	1001	3019
249	1005	3017
250	1010	3015
251	1014	3012
252	1018	3008
253	1023	3006
254	1028	3003
255	1032	2999
256	1037	2998
257	1041	2996
258	1046	2993
259	1050	2990
260	1055	2988
261	1059	2984
262	1063	2979
263	1067	2976
264	1071	2971
265	1075	2967
266	1079	2962
267	1084	2961
268	1089	2960
269	1094	2959
270	1098	2954
271	1102	2950
272	1106	2946
273	1110	2941
274	1114	2938
275	1118	2934
276	1123	2931
277	1127	2928
278	1133	2928
279	1137	2926
280	1141	2921
281	1145	2917
282	1150	2913
283	1154	2909
284	1158	2905
285	1163	2904
286	1168	2902
287	1171	2897
288	1175	2892
289	1180	2889
290	1184	2885
291	1188	2881
292	1193	2879
293	1197	2876
294	1203	2876
295	1207	2872
296	1211	2868
297	1215	2863
298	1219	2859
299	1223	2855
300	1228	2852
301	1233	2850
302	1238	2848
303	1244	2848
304	1248	2844
305	1252	2840
306	1256	2835
307	1261	2833
308	1264	2828
309	1268	2824
310	1273	2820
311	1278	2818
312	1283	2817
313	1287	2813
314	1293	2812
315	1297	2809
316	1302	2806
317	1307	2804
318	1312	2801
319	1316	2798
320	1322	2797
