iter	Passed	Remaining
0	2	2655
1	6	3117
2	10	3465
3	13	3367
4	17	3423
5	20	3468
6	24	3531
7	28	3493
8	31	3447
9	33	3362
10	37	3368
11	41	3393
12	44	3361
13	48	3399
14	52	3427
15	56	3474
16	60	3489
17	64	3503
18	67	3510
19	71	3493
20	74	3488
21	76	3422
22	79	3372
23	82	3356
24	85	3341
25	89	3349
26	92	3346
27	95	3328
28	100	3364
29	103	3349
30	106	3338
31	110	3357
32	114	3366
33	118	3359
34	121	3348
35	124	3338
36	129	3364
37	132	3358
38	135	3344
39	138	3335
40	143	3350
41	147	3356
42	150	3352
43	153	3343
44	157	3348
45	161	3341
46	164	3339
47	168	3332
48	171	3325
49	174	3320
50	178	3316
51	182	3319
52	186	3327
53	190	3342
54	194	3341
55	197	3335
56	201	3338
57	206	3346
58	209	3342
59	213	3340
60	217	3341
61	220	3340
62	224	3344
63	228	3347
64	232	3339
65	236	3347
66	241	3357
67	244	3356
68	248	3347
69	251	3341
70	255	3342
71	259	3342
72	262	3337
73	266	3328
74	269	3320
75	272	3311
76	276	3309
77	279	3300
78	282	3297
79	286	3293
80	289	3289
81	293	3282
82	296	3276
83	299	3269
84	303	3267
85	307	3263
86	310	3255
87	313	3251
88	317	3247
89	320	3240
90	323	3236
91	327	3233
92	331	3231
93	335	3233
94	340	3239
95	343	3229
96	346	3226
97	351	3238
98	355	3235
99	359	3234
100	362	3229
101	366	3224
102	369	3219
103	373	3215
104	376	3211
105	380	3210
106	383	3204
107	387	3200
108	391	3199
109	394	3193
110	398	3188
111	401	3181
112	405	3183
113	408	3178
114	412	3172
115	415	3167
116	418	3161
117	422	3154
118	425	3147
119	428	3139
120	431	3136
121	435	3133
122	438	3127
123	441	3121
124	445	3117
125	449	3115
126	452	3111
127	455	3104
128	459	3100
129	462	3094
130	465	3090
131	469	3085
132	472	3078
133	475	3074
134	479	3070
135	482	3063
136	485	3059
137	489	3055
138	493	3054
139	496	3049
140	499	3043
141	502	3038
142	506	3036
143	510	3033
144	513	3030
145	517	3028
146	520	3022
147	524	3017
148	527	3011
149	530	3008
150	534	3005
151	537	2999
152	541	2995
153	544	2991
154	547	2986
155	551	2985
156	555	2980
157	558	2975
158	562	2973
159	565	2968
160	568	2963
161	572	2959
162	575	2956
163	579	2951
164	582	2950
165	586	2946
166	589	2940
167	591	2929
168	594	2924
169	598	2920
170	601	2915
171	604	2911
172	607	2906
173	611	2901
174	614	2896
175	616	2885
176	619	2882
177	623	2878
178	626	2874
179	629	2869
180	633	2866
181	636	2862
182	640	2858
183	643	2853
184	647	2850
185	650	2847
186	653	2843
187	657	2839
188	660	2834
189	664	2833
190	668	2831
191	671	2825
192	675	2822
193	678	2820
194	681	2814
195	685	2812
196	689	2808
197	692	2806
198	696	2801
199	699	2798
200	702	2793
201	706	2790
202	709	2785
203	712	2781
204	716	2777
205	719	2773
206	723	2771
207	726	2767
208	729	2762
209	733	2758
210	736	2755
211	740	2751
212	743	2747
213	747	2745
214	751	2743
215	755	2741
216	758	2737
217	761	2732
218	765	2729
219	768	2724
220	772	2722
221	775	2717
222	779	2714
223	781	2709
224	785	2704
225	788	2700
226	791	2695
227	795	2694
228	799	2691
229	802	2687
230	806	2683
231	809	2680
232	813	2677
233	816	2672
234	820	2669
235	824	2667
236	827	2663
237	830	2658
238	833	2654
239	837	2651
240	840	2648
241	844	2644
242	847	2640
243	851	2637
244	854	2633
245	858	2631
246	862	2628
247	866	2627
248	869	2623
249	873	2620
250	877	2618
251	882	2618
252	886	2616
253	889	2612
254	892	2608
255	895	2602
256	898	2597
257	901	2593
258	904	2588
259	908	2585
260	911	2580
261	915	2578
262	918	2574
263	922	2570
264	926	2568
265	929	2565
266	932	2561
267	936	2556
268	939	2553
269	943	2551
270	946	2547
271	950	2542
272	953	2540
273	957	2537
274	961	2533
275	964	2529
276	968	2527
277	972	2524
278	975	2521
279	983	2530
280	987	2526
281	991	2523
282	994	2519
283	998	2516
284	1001	2513
285	1005	2509
286	1008	2505
287	1013	2505
288	1017	2503
289	1021	2500
290	1024	2495
291	1028	2492
292	1031	2488
293	1034	2484
294	1038	2480
295	1041	2477
296	1044	2472
297	1048	2468
298	1051	2465
299	1054	2460
300	1058	2458
301	1061	2454
302	1064	2449
303	1068	2445
304	1071	2442
305	1075	2438
306	1078	2435
307	1081	2430
308	1085	2426
309	1088	2422
310	1091	2418
311	1094	2414
312	1098	2410
313	1102	2407
314	1105	2403
315	1108	2399
316	1111	2395
317	1115	2391
318	1118	2388
319	1121	2384
320	1125	2380
321	1128	2376
322	1131	2372
323	1135	2368
324	1138	2363
325	1141	2359
326	1144	2356
327	1148	2353
328	1152	2349
329	1155	2345
330	1158	2340
331	1161	2337
332	1164	2333
333	1168	2329
334	1171	2325
335	1174	2320
336	1177	2316
337	1181	2313
338	1184	2310
339	1188	2306
340	1192	2304
341	1195	2300
342	1198	2296
343	1202	2292
344	1205	2288
345	1208	2283
346	1211	2280
347	1214	2276
348	1218	2272
349	1221	2268
350	1225	2265
351	1228	2261
352	1232	2259
353	1236	2256
354	1239	2252
355	1242	2248
356	1246	2244
357	1249	2240
358	1252	2236
359	1255	2232
360	1259	2228
361	1262	2224
362	1265	2220
363	1269	2217
364	1272	2213
365	1275	2209
366	1280	2207
367	1294	2222
368	1297	2219
369	1301	2216
370	1304	2212
371	1308	2208
372	1311	2204
373	1314	2200
374	1324	2206
375	1327	2202
376	1330	2199
377	1333	2195
378	1337	2190
379	1340	2186
380	1343	2183
381	1346	2179
382	1350	2175
383	1353	2171
384	1356	2166
385	1359	2163
386	1363	2159
387	1366	2155
388	1370	2152
389	1373	2148
390	1377	2144
391	1380	2141
392	1383	2136
393	1386	2132
394	1390	2129
395	1393	2125
396	1396	2121
397	1399	2117
398	1403	2113
399	1406	2109
400	1410	2106
401	1413	2103
402	1416	2099
403	1420	2095
404	1423	2091
405	1426	2087
406	1429	2082
407	1432	2078
408	1436	2075
409	1439	2071
410	1442	2067
411	1445	2063
412	1449	2059
413	1452	2055
414	1456	2052
415	1459	2048
416	1462	2044
417	1465	2040
418	1469	2036
419	1472	2033
420	1475	2029
421	1478	2025
422	1483	2023
423	1486	2019
424	1489	2015
425	1493	2012
426	1496	2008
427	1499	2003
428	1502	2000
429	1506	1996
430	1509	1993
431	1513	1989
432	1516	1985
433	1519	1981
434	1523	1978
435	1526	1974
436	1529	1970
437	1532	1966
438	1536	1963
439	1539	1959
440	1543	1956
441	1546	1952
442	1550	1949
443	1554	1946
444	1557	1942
445	1561	1939
446	1564	1935
447	1568	1932
448	1571	1929
449	1575	1925
450	1579	1922
451	1582	1918
452	1585	1914
453	1590	1913
454	1594	1909
455	1597	1906
456	1601	1902
457	1604	1899
458	1608	1895
459	1611	1891
460	1615	1888
461	1618	1884
462	1622	1881
463	1626	1879
464	1631	1876
465	1635	1873
466	1638	1869
467	1641	1865
468	1645	1863
469	1648	1859
470	1652	1855
471	1655	1852
472	1659	1849
473	1663	1845
474	1666	1842
475	1670	1838
476	1673	1835
477	1677	1831
478	1680	1828
479	1684	1824
480	1688	1821
481	1692	1818
482	1695	1815
483	1698	1810
484	1702	1807
485	1705	1804
486	1709	1800
487	1712	1796
488	1716	1793
489	1719	1789
490	1723	1786
491	1727	1783
492	1731	1780
493	1735	1777
494	1740	1775
495	1743	1771
496	1746	1768
497	1750	1764
498	1754	1761
499	1757	1757
500	1761	1754
501	1764	1750
502	1767	1746
503	1770	1742
504	1774	1739
505	1778	1735
506	1781	1732
507	1784	1728
508	1788	1725
509	1792	1721
510	1795	1718
511	1799	1714
512	1803	1712
513	1807	1708
514	1811	1705
515	1814	1702
516	1817	1698
517	1821	1695
518	1824	1691
519	1828	1687
520	1832	1684
521	1834	1680
522	1838	1676
523	1841	1672
524	1844	1669
525	1849	1666
526	1852	1662
527	1855	1659
528	1859	1655
529	1864	1653
530	1868	1649
531	1871	1646
532	1875	1643
533	1879	1639
534	1882	1636
535	1886	1632
536	1889	1629
537	1893	1626
538	1897	1622
539	1900	1619
540	1904	1615
541	1909	1613
542	1912	1609
543	1915	1605
544	1919	1602
545	1922	1598
546	1926	1595
547	1929	1591
548	1933	1588
549	1937	1585
550	1940	1581
551	1944	1577
552	1947	1574
553	1951	1570
554	1954	1567
555	1957	1563
556	1961	1559
557	1964	1556
558	1968	1552
559	1971	1549
560	1974	1545
561	1978	1541
562	1981	1538
563	1984	1534
564	1987	1530
565	1990	1526
566	1993	1522
567	1996	1518
568	2000	1515
569	2003	1511
570	2007	1508
571	2011	1504
572	2014	1501
573	2018	1497
574	2021	1494
575	2025	1490
576	2028	1487
577	2031	1483
578	2035	1479
579	2039	1476
580	2042	1472
581	2045	1469
582	2048	1465
583	2052	1462
584	2055	1458
585	2059	1454
586	2062	1451
587	2066	1447
588	2069	1444
589	2073	1440
590	2076	1437
591	2080	1433
592	2083	1429
593	2086	1426
594	2089	1422
595	2093	1419
596	2096	1415
597	2100	1411
598	2103	1408
599	2106	1404
600	2109	1400
601	2113	1397
602	2116	1393
603	2120	1390
604	2123	1386
605	2127	1382
606	2130	1379
607	2133	1375
608	2137	1372
609	2140	1368
610	2144	1365
611	2147	1361
612	2150	1357
613	2153	1353
614	2157	1350
615	2160	1347
616	2164	1343
617	2167	1340
618	2171	1336
619	2174	1332
620	2177	1329
621	2180	1325
622	2184	1321
623	2187	1318
624	2191	1314
625	2194	1310
626	2198	1307
627	2202	1304
628	2205	1300
629	2208	1297
630	2212	1293
631	2216	1290
632	2220	1287
633	2224	1284
634	2228	1280
635	2231	1277
636	2235	1273
637	2239	1270
638	2243	1267
639	2247	1264
640	2260	1266
641	2264	1262
642	2267	1259
643	2271	1255
644	2274	1252
645	2278	1248
646	2281	1244
647	2284	1241
648	2289	1238
649	2292	1234
650	2296	1231
651	2300	1227
652	2303	1224
653	2307	1220
654	2310	1217
655	2313	1213
656	2317	1210
657	2321	1206
658	2324	1203
659	2328	1199
660	2332	1196
661	2335	1192
662	2339	1188
663	2342	1185
664	2346	1182
665	2350	1178
666	2353	1175
667	2357	1171
668	2361	1168
669	2363	1164
670	2367	1160
671	2370	1156
672	2373	1153
673	2377	1149
674	2380	1146
675	2384	1142
676	2387	1139
677	2391	1135
678	2394	1132
679	2398	1128
680	2401	1125
681	2405	1121
682	2408	1118
683	2412	1114
684	2415	1110
685	2420	1107
686	2423	1104
687	2427	1100
688	2430	1097
689	2434	1093
690	2437	1090
691	2442	1086
692	2445	1083
693	2450	1080
694	2455	1077
695	2459	1074
696	2462	1070
697	2466	1067
698	2469	1063
699	2473	1059
700	2476	1056
701	2480	1052
702	2483	1049
703	2485	1045
704	2489	1041
705	2493	1038
706	2495	1034
707	2499	1030
708	2502	1027
709	2506	1023
710	2510	1020
711	2514	1017
712	2517	1013
713	2521	1010
714	2525	1006
715	2528	1003
716	2532	999
717	2536	996
718	2539	992
719	2542	988
720	2546	985
721	2550	982
722	2554	978
723	2557	974
724	2561	971
725	2565	968
726	2569	964
727	2572	961
728	2575	957
729	2580	954
730	2583	950
731	2587	947
732	2590	943
733	2594	940
734	2597	936
735	2600	932
736	2604	929
737	2607	925
738	2611	922
739	2615	918
740	2618	915
741	2622	911
742	2626	908
743	2629	904
744	2632	901
745	2636	897
746	2639	894
747	2642	890
748	2646	886
749	2649	883
750	2652	879
751	2655	875
752	2659	872
753	2663	869
754	2668	865
755	2671	862
756	2675	858
757	2678	855
758	2682	851
759	2686	848
760	2689	844
761	2692	841
762	2696	837
763	2700	834
764	2704	830
765	2708	827
766	2711	823
767	2715	820
768	2719	816
769	2722	813
770	2727	810
771	2731	806
772	2734	802
773	2738	799
774	2741	795
775	2745	792
776	2749	789
777	2754	785
778	2758	782
779	2761	778
780	2764	775
781	2768	771
782	2772	768
783	2775	764
784	2778	761
785	2781	757
786	2785	753
787	2787	750
788	2790	746
789	2794	742
790	2797	739
791	2800	735
792	2803	731
793	2806	728
794	2809	724
795	2813	720
796	2816	717
797	2819	713
798	2823	710
799	2826	706
800	2830	703
801	2833	699
802	2845	697
803	2847	694
804	2851	690
805	2854	687
