iter	MultiClass
0	1.022997675
1	0.9533704675
2	0.8947986272
3	0.8515133932
4	0.8076725889
5	0.7759602687
6	0.7428288274
7	0.7138474013
8	0.6872102401
9	0.6611654813
10	0.6394035026
11	0.6190663254
12	0.6001292089
13	0.5837982678
14	0.5678334671
15	0.5543329608
16	0.5398917172
17	0.5286527267
18	0.5168723948
19	0.5071262058
20	0.4997813764
21	0.4916181747
22	0.4841523517
23	0.4754169486
24	0.4679192798
25	0.4595873927
26	0.4515060625
27	0.4435287005
28	0.4373551725
29	0.4310459959
30	0.4254035208
31	0.4201819303
32	0.4154019248
33	0.4103289418
34	0.4054810478
35	0.4009055544
36	0.3942527477
37	0.3907690976
38	0.3860906518
39	0.3831678718
40	0.3784990983
41	0.3748040589
42	0.3715011358
43	0.3677009271
44	0.3650824855
45	0.3615216858
46	0.3585076143
47	0.3541613663
48	0.3522777288
49	0.3489144632
50	0.3456921503
51	0.3433563275
52	0.339464548
53	0.3370741749
54	0.3345930395
55	0.3321247271
56	0.3300847803
57	0.3277132854
58	0.3244634219
59	0.3209030329
60	0.3188697284
61	0.3166809969
62	0.3151237356
63	0.3127403685
64	0.3098281346
65	0.3081086235
66	0.3066169925
67	0.3049794186
68	0.3024728387
69	0.3000122439
70	0.2980977408
71	0.2966285872
72	0.294612575
73	0.2926026675
74	0.2916354515
75	0.2900908789
76	0.2886975892
77	0.287622526
78	0.2865028679
79	0.2843655005
80	0.2826079599
81	0.2804811935
82	0.2788920308
83	0.2768167688
84	0.2749349487
85	0.2732273725
86	0.2722707449
87	0.2710394527
88	0.269317456
89	0.2673693119
90	0.2656722082
91	0.2640228883
92	0.2625831952
93	0.2608367876
94	0.258971322
95	0.2576980801
96	0.2560998271
97	0.2549242273
98	0.2533392208
99	0.251500722
100	0.2497901751
101	0.2483034694
102	0.2467170532
103	0.2454119372
104	0.2440917528
105	0.2432423431
106	0.2421029348
107	0.2408776714
108	0.2398662349
109	0.2383518075
110	0.2368639608
111	0.2358009175
112	0.2345977826
113	0.2339402414
114	0.2329609561
115	0.2316282503
116	0.2303185015
117	0.228771308
118	0.2275246609
119	0.2269039832
120	0.2262070271
121	0.225271188
122	0.2242586386
123	0.223534333
124	0.2223172968
125	0.2216715265
126	0.2208650961
127	0.220248056
128	0.2193849498
129	0.2186449831
130	0.2176308069
131	0.2170775847
132	0.2161969888
133	0.215661381
134	0.2146994223
135	0.2142929173
136	0.2132267631
137	0.2125016635
138	0.2119355099
139	0.2109916038
140	0.2103907577
141	0.2092674149
142	0.2087552175
143	0.2077306921
144	0.2071478486
145	0.2064294748
146	0.2054688936
147	0.2047663891
148	0.2044057324
149	0.2037338916
150	0.2028542921
151	0.2018583084
152	0.2010062828
153	0.1999736182
154	0.1994270651
155	0.1986982272
156	0.1977857842
157	0.197299338
158	0.1960140336
159	0.1958795462
160	0.1952446238
161	0.1942961072
162	0.1939263994
163	0.1934948138
164	0.1930573827
165	0.19173912
166	0.1910208707
167	0.1902165792
168	0.1898268722
169	0.1889197909
170	0.1885287863
171	0.1879868924
172	0.1872774324
173	0.1864705199
174	0.1858506769
175	0.1853044037
176	0.1844664804
177	0.1838862181
178	0.1833746182
179	0.1824036225
180	0.181717626
181	0.1811001512
182	0.1806765727
183	0.1801162673
184	0.1798248651
185	0.1791575294
186	0.1788817322
187	0.1781798533
188	0.1776205203
189	0.1771260411
190	0.1764195964
191	0.1760596978
192	0.1755599466
193	0.1749203412
194	0.1743685408
195	0.1739632489
196	0.1734923458
197	0.1729850736
198	0.172289408
199	0.1717033524
200	0.1712333954
201	0.1706834379
202	0.1699117874
203	0.1694580448
204	0.1690578825
205	0.1686816804
206	0.1681402972
207	0.1676834221
208	0.1673683247
209	0.1668368368
210	0.1660328278
211	0.1658407999
212	0.1651682226
213	0.1645755645
214	0.164090928
215	0.1635635277
216	0.1630370382
217	0.1627691545
218	0.162202912
219	0.1615947301
220	0.1609156994
221	0.1602686787
222	0.1599043902
223	0.1593729218
224	0.1590809815
225	0.1587122792
226	0.1585019967
227	0.1581525491
228	0.1576989841
229	0.1572573459
230	0.1569467846
231	0.1565901119
232	0.1563843301
233	0.155839774
234	0.1552408736
235	0.1547947868
236	0.1542927486
237	0.1537335687
