iter	Passed	Remaining
0	2	2963
1	5	2935
2	9	2992
3	11	2979
4	14	2945
5	17	2949
6	20	2958
7	23	2964
8	27	3000
9	30	2997
10	33	3002
11	36	2993
12	39	2988
13	42	2994
14	45	2989
15	48	2975
16	51	2966
17	54	2959
18	57	2960
19	60	2961
20	63	2952
21	66	2942
22	69	2946
23	72	2953
24	75	2950
25	78	2939
26	81	2938
27	84	2933
28	87	2931
29	90	2929
30	93	2922
31	96	2919
32	99	2913
33	102	2909
34	105	2905
35	108	2897
36	111	2891
37	114	2889
38	117	2892
39	120	2888
40	123	2886
41	126	2883
42	129	2881
43	132	2880
44	135	2879
45	138	2876
46	141	2872
47	144	2870
48	147	2871
49	151	2871
50	154	2869
51	157	2867
52	160	2863
53	163	2866
54	166	2861
55	169	2856
56	172	2852
57	175	2850
58	178	2848
59	181	2849
60	185	2848
61	188	2846
62	191	2842
63	194	2842
64	197	2839
65	200	2838
66	203	2836
67	206	2833
68	210	2835
69	213	2833
70	216	2831
71	219	2826
72	222	2827
73	227	2849
74	232	2867
75	237	2892
76	242	2904
77	245	2907
78	250	2916
79	254	2923
80	257	2926
81	261	2931
82	265	2933
83	269	2939
84	272	2934
85	275	2932
86	279	2927
87	282	2925
88	285	2922
89	288	2919
90	291	2916
91	295	2913
92	298	2913
93	302	2912
94	305	2910
95	308	2907
96	312	2904
97	315	2901
98	318	2897
99	321	2893
100	324	2890
101	328	2887
102	331	2885
103	334	2883
104	337	2879
105	340	2875
106	344	2873
107	347	2870
108	350	2866
109	353	2863
110	357	2859
111	360	2855
112	363	2851
113	366	2846
114	369	2843
115	372	2840
116	375	2836
117	379	2834
118	382	2832
119	385	2829
120	389	2826
121	392	2822
122	395	2817
123	398	2814
124	401	2812
125	405	2809
126	408	2806
127	411	2803
128	414	2800
129	417	2796
130	421	2793
131	424	2790
132	427	2788
133	431	2786
134	434	2785
135	437	2782
136	441	2778
137	443	2773
138	447	2769
139	450	2764
140	452	2759
141	455	2755
142	458	2750
143	462	2747
144	465	2744
145	468	2739
146	471	2734
147	474	2731
148	477	2728
149	481	2726
150	484	2722
151	487	2718
152	490	2714
153	493	2709
154	496	2705
155	499	2700
156	502	2696
157	505	2693
158	508	2689
159	511	2686
160	514	2682
161	517	2678
162	520	2674
163	523	2669
164	527	2667
165	530	2664
166	533	2661
167	536	2658
168	539	2654
169	543	2652
170	546	2648
171	549	2643
172	552	2639
173	555	2636
174	558	2632
175	561	2628
176	564	2624
177	567	2620
178	570	2618
179	573	2614
180	577	2610
181	579	2606
182	582	2602
183	585	2598
184	589	2595
185	592	2593
186	595	2590
187	599	2587
188	602	2585
189	605	2582
190	608	2579
191	611	2575
192	615	2572
193	618	2569
194	621	2566
195	624	2561
196	627	2557
197	630	2554
198	633	2550
199	636	2546
200	639	2543
201	643	2540
202	646	2536
203	649	2533
204	652	2528
205	655	2525
206	658	2521
207	661	2518
208	664	2514
209	667	2512
210	670	2508
211	673	2504
212	676	2500
213	679	2497
214	682	2493
215	685	2489
216	688	2485
217	692	2482
218	695	2478
