iter	MultiClass
0	1.024077507
1	0.957664009
2	0.9006635534
3	0.8610954156
4	0.8206959946
5	0.7823099886
6	0.74959814
7	0.720804625
8	0.6950972851
9	0.6710718093
10	0.6485329551
11	0.6313756497
12	0.6144909589
13	0.5996974681
14	0.5872496712
15	0.571028705
16	0.5597020906
17	0.5480065246
18	0.5355203071
19	0.5267633329
20	0.5165181217
21	0.509180437
22	0.5011201162
23	0.4934808066
24	0.4864648819
25	0.4791206611
26	0.4712580281
27	0.462775842
28	0.4567468056
29	0.4520281121
30	0.4446731372
31	0.4395269912
32	0.431488171
33	0.4260478016
34	0.4216109174
35	0.4173892195
36	0.4135815648
37	0.4096141814
38	0.4055311586
39	0.4020985937
40	0.3972618145
41	0.3932415301
42	0.3895008102
43	0.3860573312
44	0.3818727537
45	0.3769902612
46	0.3726747223
47	0.3692334678
48	0.367306155
49	0.3642205552
50	0.3616289659
51	0.3598008159
52	0.355897978
53	0.3532083027
54	0.3502932982
55	0.3471361068
56	0.3450838863
57	0.342394972
58	0.3402180298
59	0.3372713217
60	0.3350216483
61	0.3327270091
62	0.3308261329
63	0.3291472271
64	0.3262107523
65	0.3237801107
66	0.3207898872
67	0.3190472223
68	0.317257321
69	0.3150270102
70	0.3134274632
71	0.3120716695
72	0.3104602874
73	0.3094336209
74	0.3073516609
75	0.3061453411
76	0.3040875131
77	0.3021804992
78	0.3004877156
79	0.2985044141
80	0.2966435407
81	0.294481879
82	0.2927930673
83	0.2913069187
84	0.2902556461
85	0.2885960484
86	0.2876285666
87	0.2862895338
88	0.285257172
89	0.2838614468
90	0.2825971287
91	0.2811312999
92	0.2802098004
93	0.2789143531
94	0.2768823146
95	0.2753118402
96	0.2736901479
97	0.2727610532
98	0.2708611291
99	0.2696249056
100	0.2681067348
101	0.2664622827
102	0.2653088293
103	0.2642108568
104	0.2637008974
105	0.2622451984
106	0.2605879018
107	0.2597913533
108	0.258911659
109	0.2575054942
110	0.2563785109
111	0.2551646032
112	0.254415835
113	0.2535246259
114	0.2525423487
115	0.2513379614
116	0.2505708438
117	0.2490800694
118	0.2477310839
119	0.2468440765
120	0.2455651651
121	0.2446539756
122	0.2441368623
123	0.2430770376
124	0.2415566071
125	0.2408857092
126	0.2398710646
127	0.2390364794
128	0.2385052489
129	0.2375754255
130	0.2367316826
131	0.2362033608
132	0.2355011995
133	0.2344485229
134	0.233612502
135	0.2327915945
136	0.2315561337
137	0.2301466505
138	0.2290566754
139	0.228227501
140	0.2271358085
141	0.2259108517
142	0.2251322383
143	0.2241972813
144	0.2236327409
145	0.2228346685
146	0.2224770097
147	0.221528016
148	0.2209680556
149	0.2202601902
150	0.219678483
151	0.2189203514
152	0.2182630395
153	0.2173727656
154	0.2164349929
155	0.2159310201
156	0.2148957403
157	0.214325505
158	0.2132363271
159	0.212294939
160	0.2113813865
161	0.2106708329
162	0.2102057291
163	0.2095288297
164	0.2086571966
165	0.2078766495
166	0.2075466497
167	0.2071006713
168	0.2065881084
169	0.2054267103
170	0.2049072627
171	0.2043043653
172	0.2037424221
173	0.2025891503
174	0.2020107314
175	0.2010919011
176	0.2006449558
177	0.199857778
178	0.1989958212
179	0.198458933
180	0.1981668913
181	0.1974784153
182	0.1971704959
183	0.1962320064
184	0.1959194375
185	0.1955788097
186	0.1952738471
187	0.1946540868
188	0.1942551011
189	0.193477477
190	0.1927789904
191	0.1924097817
192	0.191608672
193	0.1912978647
194	0.1905044242
195	0.1900902455
196	0.1895444143
197	0.1888770079
198	0.1886043006
199	0.1880272017
200	0.1874139733
201	0.1870478151
202	0.1865261397
203	0.1859035625
204	0.1851396406
205	0.1845996169
206	0.184043055
207	0.1836154908
208	0.1829990079
209	0.1824762782
210	0.1820645859
211	0.1813938797
212	0.1807874818
213	0.1800509306
214	0.1796176067
215	0.1791791283
216	0.1785572957
217	0.1781058707
218	0.177530447
219	0.1769948658
220	0.1765687618
221	0.1756619867
222	0.1748461385
223	0.1743519829
224	0.1740451509
225	0.1734678585
226	0.1730066464
227	0.1722870721
228	0.1717179167
229	0.1713115288
230	0.1709961005
231	0.17034047
232	0.1699934699
233	0.1695511874
234	0.1689265978
235	0.1683873752
236	0.1678324883
237	0.1672374735
238	0.1667971367
239	0.1663877856
240	0.1656126759
241	0.1651610291
242	0.1643745747
243	0.1637871396
244	0.1635844955
245	0.1629221178
246	0.1625400308
247	0.1622718535
248	0.1618621078
249	0.1614354226
250	0.1607428992
251	0.1601752713
252	0.1597683781
253	0.1592386195
254	0.1587920358
255	0.1583938379
256	0.1581331706
257	0.1575945498
258	0.1573042604
259	0.1569410609
260	0.1565659278
261	0.1561614539
262	0.1555865375
263	0.1550894286
264	0.1545527314
265	0.1541735115
266	0.1534114033
267	0.1530724861
268	0.1526759868
269	0.1523705053
270	0.1517393748
271	0.151262479
272	0.1509971114
273	0.150566646
274	0.1502818928
275	0.1499560212
276	0.1495402749
277	0.1493481655
278	0.1489781058
279	0.148559562
280	0.1481626702
281	0.1477788007
282	0.1474425184
283	0.1471815689
284	0.1467085215
285	0.1462193907
286	0.1456003423
287	0.1453642403
288	0.1450596648
289	0.1448677553
290	0.1443585384
291	0.1439907232
292	0.1434858627
293	0.1431254663
294	0.1427442249
295	0.1423471123
296	0.1418750718
297	0.1414862392
298	0.1410100305
299	0.1403734442
300	0.140104635
301	0.139739538
302	0.1395348548
303	0.1390547922
304	0.1387593897
305	0.138372692
306	0.1379525292
307	0.1375998394
308	0.1374194526
309	0.1371952832
310	0.1368980371
311	0.1363529791
312	0.1359085197
313	0.1355288147
314	0.1353439033
315	0.1350872004
316	0.1348836501
317	0.1345415109
318	0.1340235524
319	0.1337427492
320	0.1333506993
321	0.133008864
322	0.1327390838
323	0.1322856356
324	0.1321213724
325	0.1318298577
326	0.131542129
327	0.1311569245
328	0.1309244528
329	0.1306704283
330	0.1303001175
331	0.1298766512
332	0.1295737686
333	0.1293387208
334	0.1290524076
335	0.1286901907
336	0.1283851677
337	0.128011077
338	0.127704077
339	0.1273797154
340	0.1270852748
341	0.1267580068
342	0.1264313414
343	0.1262677128
344	0.1260554616
345	0.1258045627
346	0.125326351
347	0.1251207801
348	0.1245225412
349	0.1243368732
350	0.1241401059
351	0.123829075
352	0.123577081
353	0.1233321896
354	0.1230434809
355	0.1228011382
356	0.1225416243
357	0.1222903376
358	0.1221406859
359	0.1219225189
360	0.1216158068
361	0.121119317
362	0.1208493611
363	0.1206900881
364	0.1205606509
365	0.1203121552
366	0.1200349242
367	0.1197129667
368	0.1192595966
369	0.1190252533
370	0.1189129893
371	0.1187026108
372	0.1185566164
373	0.118279028
374	0.1179531828
375	0.117860354
376	0.1173922849
377	0.1171222015
378	0.1169554848
379	0.1166407869
380	0.1164148298
381	0.1160656178
382	0.1158914973
383	0.1155581651
384	0.1152816774
385	0.1150422583
386	0.1148207204
387	0.1145417328
388	0.1143556217
389	0.1140947617
390	0.1138077011
391	0.1134303295
392	0.1131763668
393	0.1128326606
394	0.112488371
395	0.1124069909
396	0.112102145
397	0.1119612208
398	0.1116772055
399	0.1114391963
400	0.1112525633
401	0.1110200115
402	0.1107264266
403	0.1104286671
404	0.1102981802
405	0.1100132864
406	0.1097137113
407	0.1094797527
408	0.109352133
409	0.1091077529
410	0.1089626488
411	0.1088459864
412	0.1086840262
413	0.1085256856
414	0.1083281521
415	0.1081063571
416	0.1078319108
417	0.1076275871
418	0.1074508482
419	0.1071225625
420	0.1069314935
421	0.1065932211
422	0.1063703583
423	0.1060326062
424	0.1057974002
425	0.1055755486
426	0.1052789572
427	0.1049187247
428	0.1047383443
429	0.1045004213
430	0.1042596721
431	0.1040212391
432	0.1038506503
433	0.1036612432
434	0.1035337589
435	0.1033490416
436	0.1032037296
437	0.1031239922
438	0.1028165344
439	0.102617367
440	0.1023857057
441	0.1021182775
442	0.1019860359
443	0.1017383043
444	0.1014989986
445	0.1013622726
446	0.1011226306
447	0.1008716855
448	0.1006750475
449	0.1004876559
450	0.100259536
451	0.1000123655
452	0.09970066174
453	0.09947870155
454	0.09927166069
455	0.09903544697
456	0.09885131417
457	0.09859103072
458	0.0983897781
459	0.09815973982
460	0.09800698149
461	0.0978051184
462	0.09772570123
463	0.09761051961
464	0.09751581678
465	0.09726014012
466	0.09698238331
467	0.09678938774
468	0.09662503234
469	0.09628819348
470	0.09598485013
471	0.09571946022
472	0.09549762271
473	0.09519331966
474	0.0950648676
475	0.09486592757
476	0.09470558916
477	0.09459486856
478	0.09422769066
479	0.09394239638
480	0.09383246606
481	0.09365668551
482	0.09338119925
483	0.09323185337
484	0.09303759669
485	0.09292954936
486	0.09277471624
487	0.09269179664
488	0.09255486419
489	0.09236921537
490	0.09225590527
491	0.09215798512
492	0.09193331554
493	0.09172977238
494	0.09149958994
495	0.09129426857
496	0.09103139232
497	0.09088884732
498	0.09067466888
499	0.0903676592
500	0.09017957639
501	0.09005599938
502	0.08987907718
503	0.08976885721
504	0.08957182141
505	0.08935381799
506	0.08915593231
507	0.089039994
508	0.08889220078
509	0.08875860831
510	0.08858267117
511	0.08840240864
512	0.08829813764
513	0.08812454399
514	0.08793714077
515	0.08788580848
516	0.08781116186
517	0.0877147327
518	0.0876073142
519	0.0874725048
520	0.08723457896
521	0.08706576058
522	0.08692427198
523	0.08684926259
524	0.08662037479
525	0.08648469304
526	0.08634052971
527	0.08620584732
528	0.08602752974
529	0.08597170151
530	0.08584373551
531	0.08578106942
532	0.08557933472
533	0.08550386999
534	0.08530870186
535	0.08507754006
536	0.08492983457
537	0.08471424944
538	0.08464219724
539	0.08454392271
540	0.08442104964
541	0.08425081724
542	0.08412087651
543	0.08401820699
544	0.08394759398
545	0.0838175
546	0.08374533494
547	0.08363206605
548	0.08342487751
549	0.08318272524
550	0.08304205748
551	0.0828537222
552	0.08274695677
553	0.08251157587
554	0.0823885713
555	0.08227665726
556	0.08216077077
557	0.08205995626
558	0.08195756299
559	0.08189785911
560	0.08175807521
561	0.08168548645
562	0.08154807062
563	0.0812923855
564	0.08116182568
565	0.08105776074
566	0.08091152761
567	0.08077000552
568	0.08057326773
569	0.08044887182
570	0.08034547898
571	0.08020859702
572	0.08002827318
573	0.07992776024
574	0.07977783583
575	0.0796391835
576	0.07956136659
577	0.0794363944
578	0.07929545372
579	0.07921117641
580	0.07908885047
581	0.07887649629
582	0.07868124816
583	0.07850543427
584	0.07844327717
585	0.07835907289
586	0.07818054903
587	0.07810351514
588	0.07804256794
589	0.07787407839
590	0.07779811827
591	0.0776151672
592	0.07747880258
593	0.0773471189
594	0.07720184871
595	0.0771027005
596	0.07694992334
597	0.07686690734
598	0.07669589878
599	0.07657500372
600	0.07653749781
601	0.07625964073
602	0.07614577807
603	0.0760065821
604	0.07587435812
605	0.07570803297
606	0.07562055613
607	0.07554392782
608	0.07543318769
609	0.07529061653
610	0.07499659144
611	0.07490976642
612	0.07480999212
613	0.0746876452
614	0.07457814269
615	0.0744776247
616	0.07428917079
617	0.07417631988
618	0.07408806722
619	0.07394141222
620	0.07383536886
621	0.07373263118
622	0.07360238932
623	0.07343671001
624	0.07333497407
625	0.07316289548
626	0.07303236795
627	0.07285832294
628	0.07277026823
629	0.07268924861
630	0.07259144072
631	0.0724918309
632	0.07242645337
633	0.07229791034
634	0.072188376
635	0.07214754712
636	0.07199626826
637	0.07180043889
638	0.07168245228
639	0.07150129378
640	0.0713462742
641	0.07121054233
642	0.07113394388
643	0.07089900437
644	0.07074782189
645	0.07066448132
646	0.070560251
647	0.07048311147
648	0.07034007264
649	0.07022642882
650	0.0700831513
651	0.06991591782
652	0.06980602191
653	0.06971757834
654	0.06962151042
655	0.06948684595
656	0.06928220524
657	0.06920500991
658	0.06911100731
659	0.06901161472
660	0.06885580614
661	0.06872202551
662	0.06861292272
663	0.06848352143
664	0.06841403499
665	0.06832539675
666	0.06823835085
667	0.068130395
668	0.06805480093
669	0.06802579004
670	0.06792771403
671	0.06777764215
672	0.06770678678
673	0.06763189098
674	0.06756256173
675	0.0674768405
676	0.06739833247
677	0.06730412342
678	0.06719537091
679	0.06712902545
680	0.0669865056
681	0.06686785789
682	0.06675231926
683	0.06671772983
684	0.0666670375
685	0.06654347881
686	0.06650321215
687	0.06642216322
688	0.06628248693
689	0.0661173884
690	0.06594956407
691	0.06582375035
692	0.0656579239
693	0.06554420563
694	0.06542511163
695	0.06533668304
696	0.0652412815
697	0.06510335257
698	0.06499343055
699	0.06487749022
700	0.06474962081
701	0.06463869902
702	0.0645624094
703	0.06440905227
704	0.06429122766
705	0.06421891536
706	0.06408514968
707	0.06404394932
708	0.06393079029
709	0.06381476934
710	0.06375726409
711	0.0635634371
712	0.06348192929
713	0.06333105881
714	0.06325705894
715	0.06317976049
716	0.06307380103
717	0.06300108897
718	0.06282217386
719	0.06269613884
720	0.06263210498
721	0.06249993618
722	0.06236291344
723	0.06231765576
724	0.06221891254
725	0.06212954284
726	0.06197345077
727	0.0619049426
728	0.06183299188
729	0.06177085078
730	0.06171076716
731	0.06159082485
732	0.06152286454
733	0.06143309671
734	0.06132998496
735	0.06127914647
736	0.0612077602
737	0.06110319973
738	0.0610357774
739	0.06094398543
740	0.06084591531
741	0.06076126116
742	0.06059856848
743	0.06051061935
744	0.06044769788
745	0.06035580259
746	0.06021431221
747	0.06012862022
748	0.05999631817
749	0.05993892765
750	0.05984575111
751	0.05976120467
752	0.05968023322
753	0.05956662809
754	0.05947231966
755	0.05939685918
756	0.05927223728
757	0.05911276777
758	0.05902381631
759	0.05894786033
760	0.05888185045
761	0.05880262797
762	0.05862965234
763	0.05854908571
764	0.0584675974
765	0.05841258816
766	0.05827873133
767	0.05823842426
768	0.05811530638
769	0.05803917521
770	0.05797218231
771	0.05788584032
772	0.05783695907
773	0.05776978685
774	0.05771444712
775	0.05761461654
776	0.057496859
777	0.05742179681
778	0.05729980696
779	0.05715202239
780	0.05707478292
781	0.05691682556
782	0.05687986451
783	0.05680475858
784	0.05674934427
785	0.05664186051
786	0.05656527061
787	0.05650971144
788	0.05643653033
789	0.05630058694
790	0.05625183343
791	0.05614761903
792	0.05608725711
793	0.05601345819
794	0.05586193404
795	0.05579977642
796	0.05571235817
797	0.0556618558
798	0.0555873141
799	0.0554811352
800	0.05535085201
801	0.05527529715
802	0.05517973814
803	0.05507980611
804	0.0550107462
805	0.05493982528
806	0.05488135046
807	0.05477622932
808	0.0547214922
809	0.05464261796
810	0.05455042119
811	0.05449395436
812	0.05443916119
813	0.05437634258
814	0.05428203838
815	0.05421390094
816	0.05414165239
817	0.0540635726
818	0.05401493818
819	0.05397073497
820	0.0538915347
821	0.05384673731
822	0.0537864187
823	0.05371651388
824	0.05359184338
825	0.05349071979
826	0.05339483628
827	0.05331947065
828	0.05323436634
829	0.05315578701
830	0.05309797932
831	0.05301277806
832	0.05297231597
833	0.05290490389
834	0.05282228416
835	0.05270861087
836	0.05261506637
837	0.05255041259
838	0.05241263179
839	0.05233475509
840	0.0521978444
841	0.05215986517
842	0.05207390362
843	0.05200977155
844	0.05194899059
845	0.05184498043
846	0.05175983234
847	0.05166882971
848	0.05158821319
849	0.05148815755
850	0.05140147321
851	0.05128787579
852	0.05118264846
853	0.05111897548
854	0.05103606605
855	0.05097249877
856	0.05089785519
857	0.05081297721
858	0.05077649276
859	0.05071888105
860	0.05062300611
861	0.05048339858
862	0.05043586086
863	0.05037866981
864	0.05035021998
865	0.05028084435
866	0.05020242778
867	0.05014881262
868	0.05009716591
869	0.05004689153
870	0.05000405792
871	0.04994667787
872	0.04986656474
873	0.04975685645
874	0.04969722562
875	0.04961150634
876	0.04958578369
877	0.04953361112
878	0.04947628776
879	0.04942628516
880	0.04937352233
881	0.04932281744
882	0.04924996298
883	0.04911075614
884	0.04903503024
885	0.04894894012
886	0.0488501626
887	0.04873180193
888	0.04867045885
889	0.04860253743
890	0.04856510221
891	0.0484704167
892	0.04844378465
893	0.04835949279
894	0.04826874246
895	0.0481978061
896	0.04811615745
897	0.04806892309
898	0.0479590336
899	0.04789823012
900	0.04787546006
901	0.04778370889
902	0.04770148161
903	0.04760269227
904	0.04753366319
905	0.04746833468
906	0.04735225514
907	0.04723406358
908	0.04713928517
909	0.04705890919
910	0.04701181642
911	0.04697776918
912	0.04691659104
913	0.04683522532
914	0.04680187421
915	0.04676726658
916	0.04667946687
917	0.04660793975
918	0.04656109059
919	0.04646410909
920	0.04640458377
921	0.04634982031
922	0.04631865387
923	0.04629944065
924	0.04622403046
925	0.04613724988
926	0.04606778129
927	0.04600730254
928	0.04592283508
929	0.04589371985
930	0.04583847447
931	0.04579521973
932	0.04576786783
933	0.04573040653
934	0.04568578937
935	0.04562129836
936	0.04552418716
937	0.04548216115
938	0.04543525652
939	0.04537124046
940	0.04535204651
941	0.04524736893
942	0.04520938347
943	0.04510050488
944	0.04504856555
945	0.04498815116
946	0.04492069424
947	0.04484463971
948	0.04479531172
949	0.04474516681
950	0.0447134445
951	0.04462804566
952	0.04455959606
953	0.04449395067
954	0.04444386107
955	0.04438677902
956	0.04433224114
957	0.04424372267
958	0.0441726298
959	0.04410762553
960	0.04406600886
961	0.0440307881
962	0.04396151322
963	0.04392169251
964	0.04385516039
965	0.04380138414
966	0.04373465549
967	0.04369109556
968	0.0436391941
969	0.04358343317
970	0.04351370785
971	0.04347557717
972	0.04341098772
973	0.04338289881
974	0.04332298071
975	0.04326377786
976	0.04320451887
977	0.04316863068
978	0.0431187649
979	0.04302367663
980	0.04297458671
981	0.04289669576
982	0.04285496517
983	0.04281170108
984	0.04272991424
985	0.04264745923
986	0.04257074421
987	0.04252803472
988	0.04248237382
989	0.04242062488
990	0.0423796958
991	0.0423416933
992	0.04230768862
993	0.04226449852
994	0.04218873393
995	0.04212266827
996	0.04208966221
997	0.04205888502
998	0.04198408493
999	0.0419225788
