iter	Passed	Remaining
0	5	5113
1	10	5316
2	16	5482
3	22	5620
4	27	5501
5	33	5488
6	39	5548
7	45	5589
8	51	5636
9	57	5655
10	62	5618
11	67	5596
12	72	5536
13	77	5481
14	82	5442
15	88	5434
16	94	5462
17	100	5473
18	105	5470
19	110	5435
20	117	5472
21	123	5489
22	128	5451
23	133	5446
24	139	5443
25	144	5420
26	150	5429
27	156	5428
28	161	5416
29	167	5423
30	173	5411
31	177	5382
32	184	5411
33	190	5401
34	195	5398
35	201	5387
36	206	5377
37	211	5360
38	217	5363
39	223	5369
40	229	5376
41	235	5369
42	240	5347
43	245	5339
44	251	5340
45	257	5334
46	263	5333
47	268	5323
48	273	5315
49	279	5312
50	285	5306
51	290	5293
52	296	5291
53	301	5275
54	306	5261
55	311	5258
56	317	5244
57	322	5229
58	327	5223
59	333	5223
60	338	5210
61	344	5212
62	349	5198
63	354	5187
64	360	5183
65	365	5177
66	371	5177
67	377	5180
68	383	5170
69	388	5164
70	393	5153
71	399	5144
72	405	5144
73	410	5136
74	415	5125
75	421	5120
76	427	5119
77	432	5110
78	439	5121
79	444	5116
80	450	5107
81	456	5112
82	462	5104
83	467	5095
84	472	5086
85	478	5084
86	484	5081
87	489	5074
88	494	5061
89	500	5061
90	506	5055
91	511	5047
92	517	5042
93	522	5035
94	527	5028
95	533	5022
96	538	5011
97	543	5001
98	549	4997
99	554	4992
100	560	4990
101	566	4985
102	571	4977
103	576	4966
104	582	4964
105	587	4956
106	593	4949
107	600	4957
108	605	4948
109	610	4941
110	616	4933
111	621	4927
112	626	4916
113	631	4907
114	636	4901
115	642	4896
116	648	4891
117	653	4882
118	658	4874
119	663	4868
120	669	4861
121	674	4854
122	679	4847
123	685	4841
124	690	4834
125	695	4827
126	701	4820
127	706	4809
128	712	4808
129	717	4798
130	721	4787
131	727	4782
132	732	4776
133	737	4768
134	743	4762
135	748	4753
136	753	4745
137	759	4741
138	764	4735
139	769	4726
140	774	4718
141	779	4710
142	784	4702
143	789	4694
144	795	4689
145	800	4683
146	806	4678
147	811	4672
148	816	4664
149	822	4658
150	827	4652
151	832	4645
152	838	4639
153	842	4629
154	847	4622
155	853	4619
156	859	4612
157	864	4607
158	871	4609
159	876	4603
160	881	4595
161	887	4590
162	892	4584
163	897	4577
164	903	4571
165	908	4565
166	913	4556
167	919	4554
168	924	4548
169	929	4540
170	935	4536
171	941	4533
172	947	4528
173	952	4522
174	957	4515
175	963	4511
176	968	4504
177	974	4498
178	980	4494
179	985	4490
180	992	4491
181	998	4486
182	1004	4482
183	1010	4482
184	1017	4481
185	1022	4475
186	1030	4479
187	1036	4478
188	1042	4472
189	1048	4469
190	1053	4462
191	1059	4457
192	1065	4454
193	1071	4450
194	1077	4446
195	1082	4441
196	1088	4437
197	1094	4433
198	1099	4426
199	1105	4423
200	1111	4417
201	1116	4410
202	1121	4404
203	1127	4398
204	1133	4396
205	1139	4393
206	1145	4387
207	1150	4381
208	1156	4377
209	1162	4373
210	1167	4367
211	1173	4363
212	1180	4360
213	1185	4355
214	1191	4349
215	1196	4343
216	1202	4339
217	1208	4334
218	1214	4331
219	1221	4330
220	1226	4324
221	1231	4317
222	1237	4311
223	1243	4307
224	1248	4300
225	1253	4294
226	1258	4286
227	1264	4280
228	1269	4274
229	1274	4267
230	1280	4261
231	1285	4257
232	1291	4251
233	1297	4245
234	1302	4241
235	1308	4236
236	1314	4231
237	1319	4225
238	1325	4220
239	1332	4218
240	1337	4213
241	1342	4205
242	1348	4199
243	1353	4193
244	1358	4187
245	1364	4183
246	1370	4177
247	1375	4170
248	1381	4165
249	1385	4157
250	1391	4151
251	1397	4147
252	1403	4144
253	1409	4139
254	1415	4134
255	1420	4127
256	1425	4119
257	1430	4114
258	1435	4107
259	1441	4101
260	1446	4095
261	1452	4090
262	1457	4084
263	1462	4077
264	1467	4071
265	1473	4066
266	1478	4059
267	1483	4052
268	1489	4046
269	1494	4040
270	1499	4033
271	1504	4025
272	1509	4018
273	1514	4011
274	1519	4005
275	1524	4000
276	1530	3995
277	1535	3988
278	1540	3981
279	1545	3975
280	1551	3968
281	1556	3962
282	1561	3955
283	1566	3949
284	1572	3944
285	1577	3937
286	1581	3930
287	1587	3925
288	1593	3919
289	1598	3913
290	1604	3909
291	1610	3904
292	1615	3898
293	1621	3894
294	1626	3887
295	1631	3880
296	1637	3876
297	1643	3870
298	1649	3867
299	1654	3860
300	1659	3853
301	1664	3846
302	1669	3840
303	1675	3835
304	1681	3830
305	1687	3826
306	1692	3820
307	1698	3816
308	1704	3811
309	1710	3807
310	1716	3802
311	1721	3796
312	1726	3790
313	1732	3784
314	1737	3778
315	1743	3774
