iter	Passed	Remaining
0	2	1482
1	6	1522
2	9	1532
3	12	1511
4	15	1495
5	18	1505
6	21	1516
7	24	1521
8	28	1548
9	31	1551
10	34	1555
11	38	1563
12	42	1587
13	45	1596
14	49	1596
15	52	1591
16	55	1578
17	58	1575
18	61	1567
19	64	1558
20	68	1553
21	71	1548
22	74	1546
23	78	1552
24	81	1546
25	85	1550
26	88	1548
27	92	1561
28	96	1563
29	99	1557
30	102	1552
31	105	1549
32	109	1544
33	112	1537
34	115	1534
35	118	1530
36	122	1527
37	125	1525
38	128	1521
39	132	1521
40	135	1519
41	139	1521
42	143	1521
43	146	1521
44	149	1516
45	153	1512
46	156	1510
47	160	1507
48	163	1504
49	166	1501
50	170	1502
51	174	1501
52	177	1498
53	181	1496
54	184	1491
55	187	1488
56	190	1483
57	194	1481
58	197	1479
59	201	1478
60	204	1475
61	208	1474
62	211	1470
63	215	1465
64	218	1462
65	221	1458
66	225	1454
67	228	1452
68	231	1448
69	235	1447
70	239	1445
71	242	1442
72	245	1438
73	248	1432
74	252	1433
75	256	1431
76	259	1428
77	263	1426
78	267	1425
79	270	1422
80	274	1420
81	278	1417
82	281	1415
83	285	1415
84	289	1412
85	292	1410
86	296	1407
87	308	1444
88	311	1440
89	315	1438
90	319	1434
91	322	1431
92	326	1428
93	330	1425
94	333	1423
95	337	1421
96	341	1418
97	344	1413
98	348	1411
99	351	1406
100	354	1401
101	358	1397
102	361	1392
103	365	1389
104	368	1386
105	372	1382
106	375	1379
107	379	1377
108	382	1373
109	386	1371
110	390	1367
111	393	1363
112	396	1359
113	400	1355
114	403	1351
115	406	1346
116	410	1342
117	413	1339
118	417	1335
119	420	1331
120	423	1327
121	427	1325
122	431	1322
123	435	1319
124	437	1313
125	441	1309
126	444	1304
127	447	1300
128	450	1295
129	453	1290
130	456	1285
131	459	1281
132	463	1277
133	466	1273
134	469	1269
135	473	1266
136	477	1264
137	480	1260
138	483	1256
139	487	1252
140	490	1248
141	493	1244
142	497	1241
143	500	1238
144	504	1234
145	508	1232
146	511	1228
147	515	1225
148	518	1220
149	521	1216
150	524	1213
151	528	1209
152	531	1204
153	534	1201
154	538	1197
155	542	1195
156	545	1192
157	549	1189
158	553	1186
159	556	1182
160	560	1179
161	563	1176
162	567	1173
163	571	1170
164	575	1167
165	579	1165
166	582	1161
167	585	1157
168	589	1154
169	592	1150
170	596	1146
171	599	1143
172	603	1140
173	606	1137
174	610	1134
175	613	1130
176	617	1126
177	621	1123
178	624	1120
179	628	1116
180	631	1113
181	635	1109
182	638	1106
183	642	1103
184	645	1099
185	648	1095
186	651	1091
187	655	1087
188	658	1083
189	662	1080
190	665	1077
191	669	1074
192	673	1070
193	676	1067
194	679	1063
195	682	1058
196	686	1055
197	689	1051
198	692	1047
199	696	1044
200	699	1041
201	703	1037
202	707	1034
203	710	1030
204	713	1026
205	716	1022
206	719	1018
207	722	1014
208	725	1010
209	729	1006
210	732	1002
211	735	999
212	738	995
213	742	991
214	745	988
215	749	985
216	753	982
217	756	978
218	759	974
219	763	971
220	766	967
221	769	963
222	772	960
223	776	956
224	779	953
225	783	950
226	787	946
227	790	943
228	793	939
229	796	935
230	799	931
231	803	927
232	806	924
233	810	920
234	813	917
235	817	914
236	820	910
237	824	907
238	827	903
239	830	900
240	833	896
241	836	892
242	839	888
243	842	884
244	846	880
245	849	876
246	852	873
247	856	869
248	859	866
249	863	863
250	867	860
251	870	856
252	873	852
253	876	848
254	879	845
255	883	841
256	886	838
257	890	835
258	894	831
259	897	828
260	901	825
261	904	821
262	907	817
263	910	813
264	913	810
265	917	806
266	920	803
267	924	799
268	927	796
269	931	793
270	934	789
271	937	786
272	941	782
273	944	779
274	948	775
275	951	772
276	954	768
277	958	765
278	961	761
279	965	758
280	968	754
281	971	751
282	975	747
283	978	744
284	981	740
285	984	736
286	987	733
287	991	729
288	994	726
289	998	722
290	1001	719
291	1005	716
292	1009	713
293	1012	709
294	1016	706
295	1019	702
296	1022	699
297	1026	695
298	1029	692
299	1033	689
300	1037	685
301	1040	682
302	1044	679
303	1047	675
304	1050	671
305	1054	668
306	1057	664
307	1060	661
308	1063	657
309	1066	653
310	1069	650
311	1073	646
312	1076	643
313	1079	639
314	1083	636
315	1087	633
316	1091	630
317	1095	626
318	1098	623
319	1101	619
320	1105	616
321	1109	613
322	1112	609
323	1116	606
324	1119	602
325	1123	599
326	1126	596
327	1130	592
328	1133	589
329	1136	585
330	1140	582
331	1143	578
332	1147	575
333	1150	571
334	1154	568
335	1157	565
336	1161	561
337	1164	558
338	1167	554
339	1170	550
340	1173	547
341	1176	543
342	1180	540
343	1183	536
344	1186	533
345	1189	529
346	1193	526
347	1197	522
348	1201	519
349	1204	516
350	1207	512
351	1211	509
352	1214	505
353	1218	502
354	1221	499
355	1225	495
356	1228	492
357	1231	488
358	1235	485
359	1238	481
360	1242	478
361	1246	475
362	1249	471
363	1253	468
364	1257	464
365	1260	461
366	1263	458
367	1267	454
368	1271	451
369	1274	447
370	1278	444
371	1281	441
372	1285	437
373	1288	434
374	1292	430
375	1296	427
376	1299	424
377	1303	420
378	1306	417
379	1309	413
380	1313	410
381	1316	406
382	1320	403
383	1324	400
384	1327	396
385	1332	393
386	1335	390
387	1339	386
388	1342	383
389	1346	379
390	1349	376
391	1353	372
392	1356	369
393	1359	365
394	1363	362
395	1366	358
396	1370	355
397	1374	352
398	1377	348
399	1381	345
400	1385	342
401	1389	338
402	1392	335
403	1396	331
404	1399	328
405	1402	324
406	1405	321
407	1409	317
408	1412	314
409	1416	310
410	1420	307
411	1423	304
412	1427	300
413	1430	297
414	1434	293
415	1438	290
416	1441	286
417	1445	283
418	1448	280
419	1451	276
420	1455	273
421	1458	269
422	1462	266
423	1465	262
424	1469	259
425	1473	255
426	1477	252
427	1480	249
428	1484	245
429	1487	242
430	1491	238
431	1494	235
432	1497	231
433	1500	228
434	1503	224
435	1507	221
436	1510	217
437	1513	214
438	1517	210
439	1520	207
440	1524	203
441	1528	200
442	1531	197
443	1534	193
444	1537	190
445	1541	186
446	1544	183
447	1547	179
448	1550	176
449	1553	172
450	1556	169
451	1560	165
452	1563	162
453	1567	158
454	1571	155
455	1574	151
456	1578	148
457	1581	145
458	1584	141
459	1588	138
460	1591	134
461	1594	131
462	1598	127
463	1602	124
464	1606	120
465	1609	117
466	1613	113
467	1616	110
468	1619	107
469	1623	103
470	1626	100
471	1630	96
472	1633	93
473	1637	89
474	1641	86
