iter	MultiClass
0	1.011174171
1	0.9404156603
2	0.8835779475
3	0.8420586056
4	0.7988005905
5	0.76359081
6	0.7316049792
7	0.7017231228
8	0.6755496907
9	0.6513542689
10	0.6281663295
11	0.6100202253
12	0.5928166897
13	0.5782200752
14	0.5676468725
15	0.5550977676
16	0.5414050498
17	0.5312328637
18	0.5226507687
19	0.5140350752
20	0.5041783832
21	0.4975164131
22	0.4918567205
23	0.4826493557
24	0.475207723
25	0.4664513145
26	0.4597978486
27	0.453525611
28	0.4472731138
29	0.4416457669
30	0.4342173045
31	0.4288629866
32	0.421866643
33	0.4166485019
34	0.411998254
35	0.4077340736
36	0.4039987537
37	0.3982254471
38	0.3950307346
39	0.3910979798
40	0.3862628606
41	0.3826312313
42	0.3796424404
43	0.376152123
44	0.373235241
45	0.3685948524
46	0.3646625693
47	0.3615694835
48	0.3593126658
49	0.3573718128
50	0.3550028564
51	0.3529360559
52	0.3494944327
53	0.3474095086
54	0.3450606097
55	0.3413307369
56	0.3394704455
57	0.3371384249
58	0.3344571823
59	0.3324361312
60	0.3302314448
61	0.3277936764
62	0.3261713577
63	0.3245468326
64	0.3221887762
65	0.3200501586
66	0.3169367671
67	0.3146413732
68	0.3127696663
69	0.3105228558
70	0.3086760517
71	0.3065595587
72	0.3051419297
73	0.3041016279
74	0.3020395651
75	0.3008155167
76	0.2990472249
77	0.2965964631
78	0.2953546194
79	0.2941332869
80	0.2924475671
81	0.2915607804
82	0.2899156684
83	0.2879025441
84	0.2867586708
85	0.2847809828
86	0.2834079591
87	0.282303
88	0.2815046629
89	0.2800281781
90	0.2791024615
91	0.2769502585
92	0.2757294557
93	0.2747242165
94	0.2731560601
95	0.2722298678
96	0.2709831956
97	0.2700288105
98	0.2686850808
99	0.2674966713
100	0.265986261
101	0.2653194379
102	0.2643659498
103	0.2635240418
104	0.2627428633
105	0.2613715686
106	0.259772007
107	0.2587804767
108	0.2573645089
109	0.2561615695
110	0.2551791896
111	0.2539658794
112	0.2525334384
113	0.2514329982
114	0.2506947179
115	0.2492241134
116	0.2485462717
117	0.2470193903
118	0.2456839122
119	0.244872451
120	0.2436183646
121	0.2429066536
122	0.2421868757
123	0.2416136526
124	0.2406989435
125	0.2395440323
126	0.2383937053
127	0.237804051
128	0.2371828279
129	0.2363629698
130	0.235607118
131	0.2350837855
132	0.2341876323
133	0.2335239734
134	0.2327554585
135	0.2317820881
136	0.2303773316
137	0.2298158887
138	0.2290897605
139	0.2287172424
140	0.2276900201
141	0.2266924685
142	0.225995128
143	0.2248365491
144	0.2242793186
145	0.2234939742
146	0.2230223883
147	0.22209071
148	0.2216094882
149	0.2207949752
150	0.2202612712
151	0.2196158934
152	0.2191288972
153	0.2179959954
154	0.2171768025
155	0.2165903597
156	0.2154074022
157	0.2148873275
158	0.2137664663
159	0.2131707062
160	0.2124854985
161	0.2119839586
162	0.2115358361
163	0.2105973957
164	0.2097834887
165	0.2090533408
166	0.208600138
167	0.2082137161
168	0.2079539451
169	0.2072552358
170	0.2067814682
171	0.2060621762
172	0.2055727764
173	0.2047757768
174	0.204193164
175	0.2035834448
176	0.2029133241
177	0.2021888379
178	0.2014914283
179	0.2008432869
180	0.200543025
181	0.1998686452
182	0.1995841824
183	0.1988866738
184	0.198595487
185	0.1981253451
186	0.1976295661
187	0.1968820661
188	0.1964870016
189	0.1959764584
190	0.1949267524
191	0.1946030399
192	0.1938801203
193	0.1934574479
194	0.1927319479
195	0.1922779793
196	0.1913562329
197	0.190690378
198	0.1904837371
199	0.1899459057
200	0.1894618417
201	0.1885124801
202	0.1879555708
203	0.1875342708
204	0.186746222
205	0.1862741142
206	0.1856798056
207	0.1852419714
208	0.1847201444
209	0.1840068337
210	0.1835789922
211	0.1827661979
212	0.182233882
213	0.1814544703
214	0.1811660996
215	0.1807061176
216	0.1800976111
217	0.1791849118
218	0.1788053313
219	0.1779888631
220	0.1774182197
221	0.1770261659
222	0.1762025669
223	0.1756877051
224	0.1755038673
225	0.1749677104
226	0.1747400273
227	0.1739928335
228	0.173606166
229	0.173193442
230	0.1729935097
231	0.1723566201
232	0.1720999146
233	0.1716096014
234	0.1710854453
235	0.1706845361
236	0.1703300423
237	0.1699332964
238	0.169511276
239	0.1690745615
240	0.1684070487
241	0.1680861983
242	0.1675342632
243	0.1671748454
244	0.1670024188
245	0.1667774204
246	0.1663571993
247	0.1660800766
248	0.1656985867
249	0.1653537076
250	0.1649898299
251	0.164693301
252	0.1642510256
253	0.1638055847
254	0.163479106
255	0.1630508567
256	0.1627508828
257	0.1620753162
258	0.1617771215
259	0.1613379095
260	0.1608456438
261	0.1604387447
262	0.1599990209
263	0.159192889
264	0.1587110887
265	0.1583447071
266	0.1578400917
267	0.1575260943
268	0.1572140397
269	0.1569103404
270	0.1565994968
271	0.156119415
272	0.1555446118
273	0.1549431131
274	0.1545622981
275	0.1542627726
276	0.1535438965
277	0.1533003979
278	0.15309048
279	0.1528029408
280	0.1524231334
281	0.1520436
282	0.1516435559
283	0.151446048
284	0.1508388027
285	0.1504313419
286	0.150125379
287	0.1498801635
288	0.1495662582
289	0.1493750284
290	0.1490793334
291	0.1487320084
292	0.1483511002
293	0.1479722426
294	0.1476080868
295	0.1473629743
296	0.1469230084
297	0.1465680227
298	0.1461079763
299	0.1455027215
300	0.1451692112
301	0.1448420651
302	0.144616062
303	0.1443279201
304	0.1440326747
305	0.1436453236
306	0.1432405614
307	0.1429040165
308	0.1425148985
309	0.1424098394
310	0.1420249294
311	0.1416524531
312	0.1413225065
313	0.1410394039
314	0.1408714118
315	0.1405936433
316	0.1404060059
317	0.1399664478
318	0.1394712156
319	0.1392000319
320	0.1388900861
321	0.1384777015
322	0.1383333851
323	0.1379135969
324	0.1376246359
325	0.1374285854
326	0.1370680347
327	0.1366572338
328	0.1364842495
329	0.1363271937
330	0.1358587084
331	0.1355349358
332	0.1353798195
333	0.1348412977
334	0.1346366255
335	0.1343076051
336	0.1339191523
337	0.1335371909
338	0.1332356336
339	0.1330579887
340	0.1327860441
341	0.1324541165
342	0.1321183873
343	0.1319801879
344	0.1317685663
345	0.1314911632
346	0.1310640844
347	0.1308709684
348	0.1306013428
349	0.1304396948
350	0.1302720078
351	0.1299616317
352	0.129658703
353	0.1293764365
354	0.1290636583
355	0.1288359723
356	0.1285521047
357	0.1283138916
358	0.1280166997
359	0.1277859882
360	0.1276875059
361	0.1274865791
362	0.127195536
363	0.1269456885
364	0.1266583099
365	0.1264114261
366	0.1260891016
367	0.1259773689
368	0.125482743
369	0.1252228636
370	0.1251320501
371	0.1249117287
372	0.1247197291
373	0.1243540236
374	0.1239454853
375	0.1237210624
376	0.1232480487
377	0.1229456094
378	0.1226958569
379	0.1223688523
380	0.1221949038
381	0.1218478374
382	0.1216688474
383	0.121289201
384	0.1209551797
385	0.1207031949
386	0.120487147
387	0.1201878771
388	0.1200053538
389	0.1197025235
390	0.1194120872
391	0.1190402625
392	0.1187429517
393	0.1184109413
394	0.118045166
395	0.1179046166
396	0.1176858432
397	0.117569292
398	0.1172931956
399	0.1170377985
400	0.1168189487
401	0.1165913249
402	0.1164974823
403	0.1161588645
404	0.1160338646
405	0.1157929915
406	0.1155055366
407	0.11534752
408	0.1152237969
409	0.1149432744
410	0.1147874779
411	0.114672855
412	0.1144390961
413	0.1142434345
414	0.1140646506
415	0.1137462403
416	0.1135372216
417	0.1132864224
418	0.1131097881
419	0.1128272281
420	0.1126494702
421	0.1123798286
422	0.1122495632
423	0.1118797993
424	0.1116399115
425	0.1115302204
426	0.1112051381
427	0.1109343979
428	0.1107647642
429	0.1104706131
430	0.1101810279
431	0.1098783524
432	0.1096876381
433	0.1092972529
434	0.1091596719
435	0.1088414177
436	0.1087334736
437	0.1085217006
438	0.1081913333
439	0.1079187777
440	0.1076001096
441	0.1073033212
442	0.107112163
443	0.106775001
444	0.1066203493
445	0.1064353268
446	0.1061708523
447	0.1059568332
448	0.1057501515
449	0.1055115386
450	0.1052491188
451	0.1050836845
452	0.1049166401
453	0.1046982685
454	0.1045007387
455	0.1042682367
456	0.1040608053
457	0.1038719286
458	0.1037349641
459	0.1035633092
460	0.103408382
461	0.1032321074
462	0.1031138101
463	0.1029944119
464	0.1029269554
465	0.1026631004
466	0.1023495647
467	0.1021699514
468	0.1020047646
469	0.1017012699
470	0.1014051387
471	0.1012690529
472	0.1011414521
473	0.1008814335
474	0.1007612643
475	0.1005751456
476	0.1004491926
477	0.1003309338
478	0.1000194314
479	0.09976295663
480	0.0995742867
481	0.0994501884
482	0.09934809188
483	0.099143289
484	0.09898280326
485	0.09882716044
486	0.09872633808
487	0.09858099304
488	0.09843466045
489	0.09832211235
490	0.09821322822
491	0.09795846425
492	0.09783207703
493	0.09762207559
494	0.09729798902
495	0.09716015073
496	0.0968849199
497	0.09674914645
498	0.09644831341
499	0.0962460121
