iter	Passed	Remaining
0	3	1867
1	7	1875
2	10	1772
3	13	1726
4	17	1745
5	20	1727
6	24	1717
7	27	1718
8	31	1711
9	34	1714
10	38	1710
11	41	1707
12	45	1714
13	49	1726
14	53	1735
15	58	1775
16	62	1761
17	65	1749
18	68	1744
19	72	1728
20	75	1721
21	78	1705
22	81	1696
23	85	1701
24	89	1691
25	92	1688
26	96	1689
27	100	1693
28	104	1689
29	107	1685
30	110	1676
31	114	1670
32	117	1665
33	121	1661
34	126	1677
35	129	1675
36	133	1671
37	136	1664
38	140	1661
39	143	1654
40	147	1651
41	150	1645
42	154	1638
43	157	1632
44	160	1627
45	164	1624
46	168	1620
47	171	1616
48	175	1612
49	178	1610
50	182	1606
51	186	1602
52	189	1596
53	193	1598
54	196	1592
55	200	1587
56	203	1581
57	206	1575
58	209	1569
59	213	1565
60	216	1559
61	220	1554
62	223	1551
63	227	1548
64	230	1544
65	234	1541
66	237	1537
67	241	1531
68	244	1527
69	247	1521
70	250	1515
71	253	1509
72	257	1504
73	260	1501
74	264	1497
75	267	1492
76	271	1490
77	275	1490
78	279	1487
79	282	1483
80	285	1478
81	288	1472
82	292	1468
83	295	1463
84	298	1458
85	301	1453
86	304	1447
87	308	1443
88	311	1439
89	315	1436
90	324	1459
91	328	1455
92	331	1451
93	334	1446
94	337	1440
95	341	1436
96	344	1432
97	348	1428
98	351	1424
99	355	1420
100	358	1417
101	362	1412
102	365	1410
103	369	1407
104	373	1405
105	377	1402
106	380	1398
107	383	1393
108	387	1389
109	390	1386
110	394	1381
111	397	1377
112	401	1374
113	405	1372
114	408	1368
115	412	1364
116	415	1359
117	418	1355
118	422	1351
119	425	1346
120	428	1342
121	431	1337
122	435	1333
123	438	1329
124	441	1325
125	445	1322
126	449	1319
127	453	1318
128	456	1313
129	460	1311
130	463	1306
131	467	1302
132	470	1299
133	474	1294
134	477	1291
135	481	1288
136	485	1285
137	488	1281
138	492	1278
139	495	1273
140	498	1269
141	501	1265
142	505	1261
143	508	1257
144	512	1254
145	516	1252
146	520	1248
147	523	1245
148	526	1241
149	529	1236
150	533	1232
151	536	1229
152	540	1224
153	543	1221
154	547	1218
155	551	1215
156	555	1213
157	558	1209
158	562	1206
159	565	1202
160	568	1197
161	572	1194
162	575	1190
163	578	1185
164	582	1183
165	586	1180
166	590	1177
167	593	1173
168	597	1170
169	601	1167
170	604	1163
171	608	1159
172	611	1155
173	615	1152
174	619	1149
175	622	1145
176	625	1142
177	629	1139
178	633	1135
179	636	1131
180	640	1128
181	643	1124
182	647	1120
183	650	1117
184	653	1113
185	657	1110
186	661	1107
187	665	1104
188	668	1100
189	672	1096
190	675	1093
191	679	1089
192	682	1085
193	685	1081
194	688	1077
195	691	1073
196	695	1070
197	699	1066
198	702	1063
199	706	1059
200	710	1056
201	713	1053
202	718	1050
203	721	1046
204	724	1042
205	727	1038
206	731	1034
207	734	1031
208	738	1027
209	741	1023
210	745	1020
211	748	1016
212	751	1013
213	756	1010
214	759	1007
215	763	1003
216	766	1000
217	770	996
218	773	992
219	776	988
220	780	984
221	783	980
222	786	977
223	789	973
224	793	969
225	797	966
226	800	963
227	804	959
228	808	956
229	811	953
230	815	949
231	818	945
232	821	941
233	825	938
234	828	934
235	832	930
236	835	927
237	839	924
238	843	921
239	846	917
240	850	913
241	853	910
242	856	906
243	860	902
244	863	898
245	866	894
246	870	891
247	873	887
248	877	884
249	880	880
250	884	877
251	888	874
252	892	870
253	895	867
254	898	863
255	902	859
256	905	856
257	909	852
258	912	849
259	916	846
260	920	842
261	924	839
262	927	835
263	932	833
264	935	829
265	939	826
266	942	822
267	947	820
268	950	816
269	954	813
270	957	809
271	963	807
272	967	804
273	970	800
274	974	796
275	977	793
276	980	789
277	983	785
278	987	781
279	990	778
280	993	774
281	996	770
282	1000	766
283	1003	763
284	1007	759
285	1010	756
286	1014	752
287	1018	749
288	1022	746
289	1034	749
290	1037	745
291	1041	741
292	1044	737
293	1050	735
294	1053	732
295	1057	728
296	1060	725
297	1064	721
298	1073	721
299	1076	717
300	1080	714
301	1083	710
302	1087	706
303	1090	703
304	1094	699
305	1098	696
306	1102	692
307	1105	689
308	1109	685
309	1112	681
310	1115	677
311	1118	674
312	1121	670
313	1124	666
314	1128	662
315	1131	658
316	1135	655
317	1138	651
318	1142	648
319	1146	644
320	1149	641
321	1153	637
322	1156	633
323	1159	630
324	1163	626
325	1167	622
326	1170	619
327	1174	615
328	1178	612
329	1182	608
330	1189	607
331	1192	603
332	1196	600
333	1199	596
334	1203	592
335	1206	588
336	1210	585
337	1214	581
338	1217	578
339	1221	574
340	1224	570
341	1227	567
342	1231	563
343	1234	559
344	1238	556
345	1245	554
346	1248	550
347	1252	546
348	1255	543
349	1258	539
350	1261	535
351	1264	531
352	1268	528
353	1271	524
354	1274	520
355	1278	517
356	1281	513
357	1285	509
358	1288	506
359	1292	502
360	1296	499
361	1299	495
362	1302	491
363	1306	488
364	1309	484
365	1312	480
366	1316	476
367	1319	473
368	1323	469
369	1327	466
370	1330	462
371	1334	459
372	1337	455
373	1341	451
374	1345	448
375	1348	444
376	1351	440
377	1355	437
378	1358	433
379	1362	430
380	1365	426
381	1368	422
382	1372	419
383	1376	415
384	1380	412
385	1383	408
386	1410	411
387	1426	411
388	1433	409
389	1437	405
390	1440	401
391	1444	397
392	1447	394
393	1451	390
394	1455	386
395	1458	383
396	1462	379
397	1465	375
398	1469	371
399	1472	368
400	1476	364
401	1479	360
402	1483	357
403	1487	353
404	1490	349
405	1494	345
406	1497	342
407	1500	338
408	1504	334
409	1507	331
410	1511	327
411	1514	323
412	1518	319
413	1522	316
414	1525	312
415	1529	308
416	1532	305
417	1552	304
418	1555	300
419	1559	297
420	1563	293
421	1567	289
422	1570	285
423	1574	282
424	1577	278
425	1580	274
426	1584	270
427	1587	267
428	1590	263
429	1593	259
430	1596	255
431	1600	251
432	1603	248
433	1607	244
434	1611	240
435	1615	237
436	1618	233
437	1623	229
438	1626	226
439	1630	222
440	1633	218
441	1646	216
442	1650	212
443	1654	208
444	1658	204
445	1661	201
446	1665	197
447	1668	193
448	1672	189
449	1675	186
450	1679	182
451	1683	178
452	1686	175
453	1690	171
454	1693	167
455	1697	163
456	1700	160
457	1704	156
458	1708	152
459	1712	148
460	1715	145
461	1719	141
462	1722	137
463	1725	133
464	1729	130
465	1732	126
466	1736	122
467	1739	118
468	1742	115
469	1746	111
470	1749	107
471	1753	104
472	1757	100
473	1761	96
474	1765	92
475	1769	89
476	1780	85
477	1784	82
478	1787	78
479	1791	74
480	1794	70
481	1798	67
482	1801	63
483	1805	59
484	1808	55
485	1812	52
486	1820	48
487	1823	44
488	1827	41
489	1831	37
490	1838	33
491	1842	29
492	1846	26
493	1849	22
494	1853	18
495	1857	14
496	1862	11
497	1866	7
498	1869	3
499	1873	0
