iter	MultiClass
0	1.010689065
1	0.9386008529
2	0.8841995124
3	0.840968921
4	0.7984940188
5	0.7615130054
6	0.7308546243
7	0.7005110724
8	0.6731271603
9	0.6504412122
10	0.6285018153
11	0.6109481854
12	0.5931035338
13	0.5780359873
14	0.561564012
15	0.549871679
16	0.5403045531
17	0.5291938806
18	0.5190420323
19	0.5093961999
20	0.5010650285
21	0.4911377696
22	0.486870469
23	0.4801369469
24	0.4738681939
25	0.4671445201
26	0.4619442532
27	0.4564071218
28	0.4514373606
29	0.4451853791
30	0.4397363761
31	0.4353887051
32	0.4286054181
33	0.4243404013
34	0.4203746102
35	0.4160109898
36	0.412164341
37	0.4081402454
38	0.4041000188
39	0.4008382944
40	0.3962260953
41	0.3930608435
42	0.3899840403
43	0.3877794514
44	0.3848218398
45	0.3819002107
46	0.3765613045
47	0.3725553478
48	0.3705551321
49	0.3676572228
50	0.364785012
51	0.3613470496
52	0.3582036739
53	0.3560558458
54	0.3528603707
55	0.3501539342
56	0.3476073329
57	0.3459924026
58	0.3457612582
59	0.3437397282
60	0.3407828746
61	0.3399022125
62	0.3378498307
63	0.3360153115
64	0.3349091479
65	0.3333326292
66	0.3311373904
67	0.3292939414
68	0.3273724417
69	0.3258362877
70	0.3245059286
71	0.322777618
72	0.3203695431
73	0.3190392093
74	0.3177699747
75	0.3158475889
76	0.314556042
77	0.3123324412
78	0.3104487174
79	0.3080250795
80	0.307036607
81	0.3057265666
82	0.3042323633
83	0.3015908815
84	0.2997070019
85	0.2977180733
86	0.2963759288
87	0.2954149147
88	0.2937523434
89	0.2918721146
90	0.2902187785
91	0.2888207603
92	0.287760212
93	0.2861272934
94	0.2853130632
95	0.2838226111
96	0.2820515606
97	0.2814774388
98	0.280789219
99	0.2784596665
100	0.2774313793
101	0.2762423285
102	0.2756159798
103	0.2741065475
104	0.2727753827
105	0.2718757322
106	0.2708908591
107	0.2691880711
108	0.2686168153
109	0.2680056808
110	0.2664036108
111	0.2655541787
112	0.2647431777
113	0.2631891722
114	0.2623534446
115	0.2605722862
116	0.2592209055
117	0.2579996052
118	0.2568481989
119	0.2555962835
120	0.2548538031
121	0.2538749222
122	0.252891481
123	0.2516950409
124	0.2510494987
125	0.2500969865
126	0.2489544706
127	0.2484776214
128	0.247641679
129	0.2461270121
130	0.2451524347
131	0.244681025
132	0.2440160947
133	0.2429141042
134	0.2421808636
135	0.2412603642
136	0.2404128225
137	0.2394151894
138	0.2387481769
139	0.2382863946
140	0.2378728377
141	0.2367446174
142	0.2362061785
143	0.2355129588
144	0.2352488018
145	0.2348701816
146	0.2338325958
147	0.2330661988
148	0.2325362643
149	0.2316907875
150	0.2310911268
151	0.2305190985
152	0.2298642626
153	0.2290424759
154	0.2285541008
155	0.2279022961
156	0.2268678108
157	0.2263274831
158	0.2258362314
159	0.2253092015
160	0.2243068535
161	0.2234205031
162	0.2230229455
163	0.2225319058
164	0.221791869
165	0.2211604055
166	0.2204271248
167	0.2195688761
168	0.2189443834
169	0.2183748272
170	0.2177129864
171	0.2174705062
172	0.2168393863
